rut,fecha,bloque,area,disponible
9.100.000-8,2025-09-29,MANANA,Quirurgico,False
9.100.000-8,2025-09-29,TARDE,Psiquiatria,True
9.100.000-8,2025-09-29,NOCHE,Urgencias,True
9.100.000-8,2025-09-30,MANANA,UCI,False
9.100.000-8,2025-09-30,TARDE,Cardiologia,False
9.100.000-8,2025-09-30,NOCHE,UCI,False
9.100.000-8,2025-10-01,MANANA,Recuperacion,True
9.100.000-8,2025-10-01,TARDE,Urgencias,True
9.100.000-8,2025-10-01,NOCHE,Neonatologia,True
9.100.000-8,2025-10-02,MANANA,Oncologia,True
9.100.000-8,2025-10-02,TARDE,Cardiologia,True
9.100.000-8,2025-10-02,NOCHE,Pediatria,True
9.100.000-8,2025-10-03,MANANA,Traumatologia,False
9.100.000-8,2025-10-03,TARDE,Urgencias,True
9.100.000-8,2025-10-03,NOCHE,Cardiologia,True
9.100.000-8,2025-10-04,MANANA,Infectologia,True
9.100.000-8,2025-10-04,TARDE,UCI,False
9.100.000-8,2025-10-04,NOCHE,SalaMedica,False
9.100.000-8,2025-10-05,MANANA,Neonatologia,True
9.100.000-8,2025-10-05,TARDE,Infectologia,True
9.100.000-8,2025-10-05,NOCHE,Urgencias,True
9.100.000-8,2025-10-06,MANANA,UCI,False
9.100.000-8,2025-10-06,TARDE,Pediatria,True
9.100.000-8,2025-10-06,NOCHE,Neonatologia,True
9.100.000-8,2025-10-07,MANANA,Dialisis,True
9.100.000-8,2025-10-07,TARDE,SalaMedica,False
9.100.000-8,2025-10-07,NOCHE,SalaMedica,False
9.100.000-8,2025-10-08,MANANA,Infectologia,False
9.100.000-8,2025-10-08,TARDE,UCI,True
9.100.000-8,2025-10-08,NOCHE,UCI,True
9.100.000-8,2025-10-09,MANANA,Oncologia,True
9.100.000-8,2025-10-09,TARDE,Recuperacion,True
9.100.000-8,2025-10-09,NOCHE,Pediatria,True
9.100.000-8,2025-10-10,MANANA,Urgencias,False
9.100.000-8,2025-10-10,TARDE,UCI,False
9.100.000-8,2025-10-10,NOCHE,Geriatria,True
9.100.000-8,2025-10-11,MANANA,UCI,False
9.100.000-8,2025-10-11,TARDE,Infectologia,False
9.100.000-8,2025-10-11,NOCHE,Geriatria,True
9.100.000-8,2025-10-12,MANANA,Quirurgico,True
9.100.000-8,2025-10-12,TARDE,Recuperacion,True
9.100.000-8,2025-10-12,NOCHE,Neonatologia,True
9.100.001-6,2025-09-29,MANANA,Neonatologia,True
9.100.001-6,2025-09-29,TARDE,Psiquiatria,True
9.100.001-6,2025-09-29,NOCHE,Hospitalizacion,True
9.100.001-6,2025-09-30,MANANA,Urgencias,True
9.100.001-6,2025-09-30,TARDE,Geriatria,True
9.100.001-6,2025-09-30,NOCHE,Geriatria,True
9.100.001-6,2025-10-01,MANANA,Dialisis,True
9.100.001-6,2025-10-01,TARDE,UCI,True
9.100.001-6,2025-10-01,NOCHE,UCI,False
9.100.001-6,2025-10-02,MANANA,Neonatologia,True
9.100.001-6,2025-10-02,TARDE,Hospitalizacion,True
9.100.001-6,2025-10-02,NOCHE,Quirurgico,False
9.100.001-6,2025-10-03,MANANA,Pediatria,True
9.100.001-6,2025-10-03,TARDE,Neonatologia,True
9.100.001-6,2025-10-03,NOCHE,SalaMedica,False
9.100.001-6,2025-10-04,MANANA,Infectologia,False
9.100.001-6,2025-10-04,TARDE,Geriatria,True
9.100.001-6,2025-10-04,NOCHE,Hospitalizacion,True
9.100.001-6,2025-10-05,MANANA,Recuperacion,False
9.100.001-6,2025-10-05,TARDE,Quirurgico,True
9.100.001-6,2025-10-05,NOCHE,Pediatria,True
9.100.001-6,2025-10-06,MANANA,Recuperacion,False
9.100.001-6,2025-10-06,TARDE,UCI,True
9.100.001-6,2025-10-06,NOCHE,Quirurgico,True
9.100.001-6,2025-10-07,MANANA,Urgencias,True
